index,name,tendon,limb_group,source_file,side,side_source,crossed_limbs,crossed_joints,bodies,sites,agrees_with_geometry,note,group_key
0,addbrev_r,addbrev_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,addbrev_r-P1|addbrev_r-P2,True,,R/lower
1,addlong_r,addlong_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,addlong_r-P1|addlong_r-P2,True,,R/lower
2,addmagDist_r,addmagDist_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,addmagDist_r-P1|addmagDist_r-P2,True,,R/lower
3,addmagIsch_r,addmagIsch_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,addmagIsch_r-P1|addmagIsch_r-P2,True,,R/lower
4,addmagMid_r,addmagMid_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,addmagMid_r-P1|addmagMid_r-P2,True,,R/lower
5,addmagProx_r,addmagProx_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,addmagProx_r-P1|addmagProx_r-P2,True,,R/lower
6,bflh_r,bflh_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,pelvis|tibia_r,bflh_r-P1|bflh_r-P2|bflh_r-P3,True,,R/lower
7,bfsh_r,bfsh_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,femur_r|tibia_r,bfsh_r-P1|bfsh_r-P2,True,,R/lower
8,edl_r,edl_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r|mtp_angle_r,tibia_r|calcn_r|toes_r,edl_r-P1|edl_r-P2|edl_r-P3|edl_r-P4|edl_r-P5|edl_r-P6,True,,R/lower
9,ehl_r,ehl_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r|mtp_angle_r,tibia_r|calcn_r|toes_r,ehl_r-P1|ehl_r-P2|ehl_r-P3|ehl_r-P4|ehl_r-P5|ehl_r-P6|ehl_r-P7|ehl_r-P8,True,,R/lower
10,fdl_r,fdl_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r|mtp_angle_r,tibia_r|calcn_r|toes_r,fdl_r-P1|fdl_r-P2|fdl_r-P3|fdl_r-P4|fdl_r-P5|fdl_r-P6|fdl_r-P7|fdl_r-P8,True,,R/lower
11,fhl_r,fhl_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r|mtp_angle_r,tibia_r|calcn_r|toes_r,fhl_r-P1|fhl_r-P2|fhl_r-P3|fhl_r-P4|fhl_r-P5|fhl_r-P6|fhl_r-P7,True,,R/lower
12,gaslat_r,gaslat_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3|ankle_angle_r|subtalar_angle_r,femur_r|calcn_r,gaslat_r-P1|gaslat_r-P2,True,,R/lower
13,gasmed_r,gasmed_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3|ankle_angle_r|subtalar_angle_r,femur_r|calcn_r,gasmed_r-P1|gasmed_r-P2,True,,R/lower
14,glmax1_r,glmax1_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmax1_r-P1|glmax1_r-P2|glmax1_r-P3|glmax1_r-P4,True,,R/lower
15,glmax2_r,glmax2_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmax2_r-P1|glmax2_r-P2|glmax2_r-P3|glmax2_r-P4,True,,R/lower
16,glmax3_r,glmax3_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmax3_r-P1|glmax3_r-P2|glmax3_r-P3|glmax3_r-P4,True,,R/lower
17,glmed1_r,glmed1_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmed1_r-P1|glmed1_r-P2,True,,R/lower
18,glmed2_r,glmed2_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmed2_r-P1|glmed2_r-P2,True,,R/lower
19,glmed3_r,glmed3_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmed3_r-P1|glmed3_r-P2,True,,R/lower
20,glmin1_r,glmin1_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmin1_r-P1|glmin1_r-P2,True,,R/lower
21,glmin2_r,glmin2_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmin2_r-P1|glmin2_r-P2,True,,R/lower
22,glmin3_r,glmin3_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,glmin3_r-P1|glmin3_r-P2,True,,R/lower
23,grac_r,grac_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,pelvis|tibia_r,grac_r-P1|grac_r-P2|grac_r-P3,True,,R/lower
24,iliacus_r,iliacus_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,iliacus_r-P1|iliacus_r-P2|iliacus_r-P3|iliacus_r-P4,True,,R/lower
25,perbrev_r,perbrev_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,perbrev_r-P1|perbrev_r-P2|perbrev_r-P3|perbrev_r-P4|perbrev_r-P5,True,,R/lower
26,perlong_r,perlong_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,perlong_r-P1|perlong_r-P2|perlong_r-P3|perlong_r-P4|perlong_r-P5|perlong_r-P6|perlong_r-P7,True,,R/lower
27,piri_r,piri_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r,pelvis|femur_r,piri_r-P1|piri_r-P2|piri_r-P3,True,,R/lower
28,recfem_r,recfem_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3|knee_angle_r_beta_translation2|knee_angle_r_beta_translation1|knee_angle_r_beta_rotation1,pelvis|femur_r|tibia_r|patella_r,recfem_r-P1|recfem_r-P2|recfem_r-P3|recfem_r-P4|recfem_r-P5,True,,R/lower
29,sart_r,sart_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,pelvis|femur_r|tibia_r,sart_r-P1|sart_r-P2|sart_r-P3|sart_r-P4|sart_r-P5,True,,R/lower
30,semimem_r,semimem_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,pelvis|tibia_r,semimem_r-P1|semimem_r-P2,True,,R/lower
31,semiten_r,semiten_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,pelvis|tibia_r,semiten_r-P1|semiten_r-P2|semiten_r-P3,True,,R/lower
32,soleus_r,soleus_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,soleus_r-P1|soleus_r-P2,True,,R/lower
33,tfl_r,tfl_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,hip_flexion_r|hip_adduction_r|hip_rotation_r|knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3,pelvis|femur_r|tibia_r,tfl_r-P1|tfl_r-P2|tfl_r-P3|tfl_r-P4,True,,R/lower
34,tibant_r,tibant_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,tibant_r-P1|tibant_r-P2|tibant_r-P3|tibant_r-P4,True,,R/lower
35,tibpost_r,tibpost_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,tibpost_r-P1|tibpost_r-P2|tibpost_r-P3|tibpost_r-P4,True,,R/lower
