sweep,label,seed,upper_scale,lower_scale,n_scaled_muscles,steps,sim_time_s,displacement_xy,mean_speed_xy,mean_pelvis_height,min_pelvis_height,max_pelvis_up_tilt_deg,mean_qpos_track_err,activation_mean,actuator_force_abs_mean,action_abs_mean,foot_contact_fraction,ncon_mean,total_normal_force_mean,termination_reason,terminated,truncated
A_upper,A_upper_u1.0_l1.0,0,1.0,1.0,0,175,3.5,3.309610482862303,0.9456029951035152,0.9132253932387626,0.875293546758,11.714286357883726,0.035876331777159605,0.16516839260225769,31.330643597551585,0.742171789290467,1.0,4.234285714285714,589.928605285448,,False,False
A_upper,A_upper_u1.0_l1.0,1,1.0,1.0,0,175,3.5,3.4350811710280578,0.9814517631508737,0.9121738961649039,0.8755396682870107,8.59525592695044,0.03480882818710437,0.1611225583831099,30.779656805495968,0.7466824222842042,1.0,4.251428571428572,584.4545782733053,,False,False
A_upper,A_upper_u1.0_l1.0,2,1.0,1.0,0,175,3.5,3.3260350116008333,0.9502957176002381,0.9130381725264101,0.8787328736103246,11.477330234234673,0.03566082798276408,0.1640739747615584,31.16272809893282,0.7439095588489455,1.0,4.268571428571429,596.1316956265814,,False,False
A_upper,A_upper_u0.75_l1.0,0,0.75,1.0,61,175,3.5,3.182872956182291,0.9093922731949402,0.9135918499638481,0.8786880729538367,11.079149756129308,0.039410394925854145,0.16321932706549855,30.607237729329146,0.7372677140649484,1.0,4.182857142857143,588.8590213110456,,False,False
A_upper,A_upper_u0.75_l1.0,1,0.75,1.0,61,175,3.5,3.351906383976912,0.9576875382791178,0.9136173939963416,0.8775579447158046,7.717218798147075,0.03732653026900531,0.15977462917726992,30.264394350636206,0.7427658747522199,1.0,4.222857142857142,588.2647822956895,,False,False
A_upper,A_upper_u0.75_l1.0,2,0.75,1.0,61,175,3.5,3.215656210224367,0.918758917206962,0.9132329070428327,0.8789942584519006,10.804303797290428,0.03931925169913583,0.1610944874122637,30.19425512957818,0.7406301685523016,1.0,4.182857142857143,594.6681644478032,,False,False
A_upper,A_upper_u0.5_l1.0,0,0.5,1.0,61,175,3.5,3.170848945145309,0.9059568414700883,0.9138894241133465,0.8795311066822783,10.496990368405237,0.044774665690162536,0.1623697276585488,30.174960086433458,0.7477425984436152,1.0,4.2457142857142856,592.7009340677777,,False,False
A_upper,A_upper_u0.5_l1.0,1,0.5,1.0,61,175,3.5,3.318189343800517,0.9480540982287192,0.9130354987134826,0.8762436975392096,9.216738823018494,0.041858843530268565,0.1584710226571537,29.772590175532002,0.7510674141144266,1.0,4.285714285714286,592.7415682993151,,False,False
A_upper,A_upper_u0.5_l1.0,2,0.5,1.0,61,175,3.5,3.1233132698057666,0.8923752199445047,0.9136838915730244,0.8800748110736492,10.459714319294003,0.04478807062286743,0.1615573192809695,29.81694847545641,0.751418601396619,1.0,4.2457142857142856,604.0464704831891,,False,False
A_upper,A_upper_u0.25_l1.0,0,0.25,1.0,61,175,3.5,2.9529628927263087,0.8437036836360882,0.9113543524070542,0.870733979391229,13.047728273387722,0.05825556415718538,0.16889947861000376,31.066590785423852,0.7776565923598349,1.0,4.434285714285714,601.2247340513388,,False,False
A_upper,A_upper_u0.25_l1.0,1,0.25,1.0,61,175,3.5,3.284267564861668,0.9383621613890479,0.9115804689118749,0.872793257275089,9.103239376909674,0.0512814703993766,0.161445900257216,29.88678493953077,0.7632517382101137,1.0,4.24,589.0909360136806,,False,False
A_upper,A_upper_u0.25_l1.0,2,0.25,1.0,61,175,3.5,2.9273587106322805,0.8363882030377944,0.9104924450784915,0.8666470653236819,11.8124315146617,0.05764544611208783,0.17023096793911596,31.17056595290766,0.7694672850175779,1.0,4.331428571428572,593.152341557403,,False,False
B_lower,B_lower_u1.0_l1.0,0,1.0,1.0,0,175,3.5,3.309610482862303,0.9456029951035152,0.9132253932387626,0.875293546758,11.714286357883726,0.035876331777159605,0.16516839260225769,31.330643597551585,0.742171789290467,1.0,4.234285714285714,589.928605285448,,False,False
B_lower,B_lower_u1.0_l1.0,1,1.0,1.0,0,175,3.5,3.4350811710280578,0.9814517631508737,0.9121738961649039,0.8755396682870107,8.59525592695044,0.03480882818710437,0.1611225583831099,30.779656805495968,0.7466824222842042,1.0,4.251428571428572,584.4545782733053,,False,False
B_lower,B_lower_u1.0_l1.0,2,1.0,1.0,0,175,3.5,3.3260350116008333,0.9502957176002381,0.9130381725264101,0.8787328736103246,11.477330234234673,0.03566082798276408,0.1640739747615584,31.16272809893282,0.7439095588489455,1.0,4.268571428571429,596.1316956265814,,False,False
B_lower,B_lower_u1.0_l0.75,0,1.0,0.75,50,175,3.5,3.3452952574801964,0.9557986449943419,0.9114778869306992,0.8717706644215039,10.958939415042869,0.03768803559493693,0.1705502589901724,29.976110116082534,0.7505421684026717,1.0,4.28,589.0545290316255,,False,False
B_lower,B_lower_u1.0_l0.75,1,1.0,0.75,50,175,3.5,3.546993203671104,1.0134266296203154,0.9100689397373132,0.8660308421466268,8.867508886701385,0.03566839307649816,0.16803577164119227,30.02395071753325,0.7567018211676149,1.0,4.2628571428571425,596.7435375522175,,False,False
B_lower,B_lower_u1.0_l0.75,2,1.0,0.75,50,175,3.5,3.3675610277121817,0.9621602936320519,0.9102492839310683,0.8746499319949891,10.739406758092311,0.03649798691269657,0.16777568914367727,29.794791647695956,0.7467104793645896,1.0,4.274285714285714,590.0994598591212,,False,False
B_lower,B_lower_u1.0_l0.5,0,1.0,0.5,50,159,3.18,1.7560832137985194,0.5522274257228048,0.8804887168805193,0.5460838530175991,38.62533751176865,0.13386902401172615,0.28345216370119436,55.234347649501245,0.8619223669784517,1.0,3.7547169811320753,561.8325920606873,跌到骨盆高度 0.546 m < 0.55 m,True,False
B_lower,B_lower_u1.0_l0.5,1,1.0,0.5,50,112,2.24,2.0819848700151997,0.9294575312567855,0.8560658870401462,0.7161220058259011,60.47273025783455,0.10756708435517928,0.230606427638729,43.221429866076036,0.8144782142227098,0.9642857142857143,4.1875,639.9583053309228,骨盆直立偏差 60.5° > 60.0°,True,False
B_lower,B_lower_u1.0_l0.5,2,1.0,0.5,50,123,2.46,2.4060507089551,0.978069393884187,0.8769500708511072,0.5434892030089535,32.177014810328856,0.06960890616384001,0.2338599410602733,40.81737732069381,0.8147035010766482,0.959349593495935,4.121951219512195,563.5327355400516,跌到骨盆高度 0.543 m < 0.55 m,True,False
B_lower,B_lower_u1.0_l0.25,0,1.0,0.25,50,64,1.28,0.9077025968871658,0.7091426538180983,0.8595944927507098,0.7341075028494327,61.996906763908136,0.11660428829708565,0.2676236187099529,46.82955864811341,0.8479250263316291,1.0,3.921875,556.8051334428242,骨盆直立偏差 62.0° > 60.0°,True,False
